1.10_38,1.10
1.10_39,1.10
2.3_32,2.3
2.2_64,2.2
2.3_31,2.3
0.7_2,0.7
2.2_61,2.2
2.3_30,2.3
2.2_62,2.2
2.2_67,2.2,1.7,1.2,1.9
2.3_36,2.3
2.2_68,2.2
2.3_35,2.3,1.9
2.2_65,2.2
2.3_34,2.3
2.2_66,2.2
2.3_33,2.3
1.10_36,1.10
1.10_37,1.10
1.10_34,1.10
2.2_69,2.2
1.10_35,1.10
1.7_82,1.7
2.3_37,2.3,1.9
1.7_83,1.7
1.7_84,1.7
1.9_22,1.9
1.9_21,1.9
1.9_24,1.9
1.9_23,1.9
1.6_5,1.6
1.9_28,1.9
1.9_27,1.9
1.9_29,1.9
1.10_49,1.10
1.11_17,1.11
1.11_18,1.11
2.2_52,1.9
2.3_21,2.3
2.2_53,2.2
2.2_50,2.2
1.10_43,1.10
1.11_11,1.11
1.6_6,1.6
2.2_56,2.2
2.3_25,2.3
1.10_44,1.10
1.11_12,1.11
1.6_7,1.6
2.3_24,2.3
1.10_41,1.10
1.6_8,1.14
2.3_23,2.3
1.10_42,1.10
1.11_10,1.11
2.2_55,1.9,2.2
2.3_22,2.3
1.10_47,1.10
1.11_15,1.11
1.7_90,1.7
2.3_29,2.3
1.11_16,1.11
1.7_91,1.7
1.10_45,1.10
1.11_13,1.11
1.7_92,1.7
2.2_58,1.9
2.3_27,2.3
1.10_46,1.10
1.11_14,1.11
1.7_93,1.7
2.2_59,2.2
2.3_26,2.3
0.8_16,0.8
0.8_15,0.8
2.3_19,2.3
0.8_18,0.7
1.0_15,1.0
0.8_12,0.8
1.0_11,1.0
1.0_12,1.0
1.0_13,1.0
2.3_10,1.9
1.0_10,1.0
2.2_40,2.2
2.2_45,2.2
2.3_13,1.9
2.3_12,1.9
2.2_44,2.2
2.3_11,1.9
2.2_49,2.2,1.9
2.3_18,2.3
2.2_47,2.2
2.2_48,1.9,2.2,1.2
2.3_15,1.9
0.8_28,0.8
0.8_27,0.8
0.8_25,0.8
0.8_24,0.8
0.8_23,0.8
0.8_22,0.8
0.8_21,0.8
2.2_31,1.9
2.2_35,1.9
2.2_39,1.9
2.2_36,2.2
2.2_37,2.2
1.9_53,1.9
1.9_55,1.9
2.2_29,2.2
1.9_57,1.9
1.9_58,1.9
2.2_23,2.2
2.2_21,2.2
1.9_60,1.9
2.2_28,2.2
2.2_25,1.2
0.9_19,0.9
1.9_64,1.9
1.0_5,1.0
1.0_6,1.0
1.9_66,1.9
1.0_7,1.0
1.9_65,1.9
1.9_68,1.9
0.9_16,0.9
1.0_9,1.0
0.9_12,0.9
0.9_13,0.9
0.9_10,0.9
1.0_20,1.0
1.0_21,1.0
2.2_12,2.2
2.2_13,1.9
2.2_10,2.1
2.2_11,1.2
2.2_16,1.9
2.2_14,2.2
2.2_15,2.2
1.14_7,1.14
1.14_8,1.14
1.14_9,1.14
1.14_3,1.14
1.14_4,1.14
1.14_6,1.14
1.1_28,1.1
1.14_1,1.14
1.14_2,1.14
1.1_24,1.1
1.1_23,1.1
1.1_26,1.1
1.1_20,1.1
1.1_22,1.1
1.1_21,1.1
1.1_3,1.1
1.1_4,0.9
1.1_6,1.1
1.1_8,0.9
0.7_12,0.7
1.1_16,1.1
0.7_10,0.7
1.1_2,1.1
1.1_15,1.1
1.1_14,1.1
2.1_17,2.1
1.13_8,1.13
1.13_9,1.13
1.13_6,1.13
1.13_7,1.13
1.1_49,1.1
1.1_45,1.1,0.9
1.1_48,1.1
1.1_42,1.1,0.9
1.1_41,1.1
1.1_44,1.1,0.9
1.1_43,1.1
2.1_11,2.1
1.1_40,1.1,0.9
2.1_10,2.1
2.1_15,2.1
2.1_16,2.1
2.1_13,2.1
2.1_14,2.1
1.2_2,1.2
1.2_4,1.2
1.2_6,1.2
1.1_39,1.1
1.1_38,1.1
1.1_37,1.1
1.1_36,1.1,0.9
1.1_31,1.1
1.1_33,1.1
1.1_32,1.1
1.12_5,1.12
1.12_7,1.12
1.12_8,1.12
1.12_1,1.12
1.12_2,1.12
1.12_3,1.12
1.1_69,0.9,1.1
1.1_63,1.1
1.1_66,1.1
1.1_61,1.1
1.1_56,1.1
1.1_59,1.0
1.1_58,0.9
1.1_53,1.1
1.1_52,1.1,0.9
1.1_55,1.0
1.1_54,1.1
1.1_51,1.1
1.14_40,1.14
1.14_41,1.14
1.11_7,1.11
1.11_2,1.11
1.11_4,1.11
1.11_5,1.11
1.1_89,1.1
1.1_85,1.1
1.1_88,1.1
1.1_87,1.1
1.14_37,1.14
1.1_81,1.1
1.14_36,1.14
1.1_84,1.1
1.1_83,1.1
1.1_80,1.1
1.14_39,1.14
1.1_79,1.1
1.3_16,1.3
1.1_78,1.1
1.1_75,1.1
1.1_74,1.1
1.3_13,1.3
1.1_77,1.1,0.9
1.3_11,1.3
1.1_71,1.1
1.1_72,1.1
0.9_26,0.9
0.9_23,0.9
0.9_24,0.9,0.7
1.10_9,1.10
1.10_3,1.10
1.10_5,1.10
1.4_19,1.2
1.4_17,1.2
1.4_15,1.2
1.4_16,1.2
1.4_14,1.2
1.4_10,1.4,1.2
0.9_37,0.9
0.9_35,0.9
0.9_36,0.9
0.9_30,0.9
0.9_31,0.9
1.1_97,1.1
1.1_96,1.1
1.1_99,1.1
1.1_98,1.1
1.1_93,1.1
1.1_95,1.1
1.1_94,1.1
1.1_91,1.1
1.1_90,1.1
0.9_44,0.9
0.9_45,0.9
0.9_46,0.9
0.9_47,0.9
0.9_40,0.9
0.9_43,0.9
1.4_37,1.4
0.9_50,0.9
1.4_38,1.4
1.4_35,1.4
1.4_36,1.4
1.4_33,1.4
1.4_34,1.4
1.4_31,1.4
1.4_32,1.4
1.4_30,1.4
0.9_59,0.9
0.9_56,0.9
0.9_58,0.9
0.9_51,0.9
0.9_52,0.9
0.9_53,0.9
1.4_28,1.4
1.4_29,1.4
1.4_27,1.4
1.4_24,1.4
1.4_25,1.4
1.4_22,1.2
1.4_23,1.2
1.4_20,1.2
1.4_21,1.2
